ページ,カラム,科目情報,成績評価
302,RIGHT,"科目ナンバー：（BA）MAN391J
経営学外国書講読Ｂ
多田稔
【使用言語：英語】
2単位 3年次 秋学期 駿河台キャンパス","８．成績評価の方法
秋学期末に実施する試験，授業時の翻訳点，平常点を加算して100点満
点とし評価します。それぞれの点数配分は以下の通りです。
①秋学期末試験：70点
②翻訳点：20点（質問に対する回答点＋翻訳点）
③平常点：10点（受講態度等）
なお，出席率が70％未満の場合は，秋学期末試験の受験資格を喪失す
るものとします。"
303,LEFT,"科目ナンバー：（BA）MAN391J
経営学外国書講読Ａ
原木英一
【使用言語：英語】
2単位 3年次 春学期 駿河台キャンパス","８．成績評価の方法
ディスカッションへの貢献度（30%），翻訳等の発表（30%），期末試験
（40%）を総合的に判断する。"
303,RIGHT,"科目ナンバー：（BA）MAN391J
経営学外国書講読Ｂ
原木英一
【使用言語：英語】
2単位 3年次 秋学期 駿河台キャンパス","８．成績評価の方法
ディスカッションへの貢献度（30%），翻訳等の発表（30%），期末
試験（40%）を総合的に判断する。"
304,LEFT,"科目ナンバー：（BA）MAN391J
経営学外国書講読Ａ
古川裕康
【使用言語：英語】
2単位 3年次 春学期 駿河台キャンパス","８．成績評価の方法
平常点（40％），翻訳等の発表（30％），期末試験の結果（30％）を総合的に判断
する。"
304,RIGHT,"科目ナンバー：（BA）MAN391J
経営学外国書講読Ｂ
古川裕康
【使用言語：英語】
2単位 3年次 秋学期 駿河台キャンパス","８．成績評価の方法
平常点（40％），翻訳等の発表（30％），レポート（30％）を総合的に判断する。"
305,LEFT,"科目ナンバー：（BA）MAN391J
経営学外国書講読Ａ
山下智佳
【使用言語：英語】
2単位 3年次 春学期 駿河台キャンパス","８．成績評価の方法
期末試験40％，平常点（受講態度，授業への参加度等）30％，
課題，発表30％の割合で総合的に評価します。なお，期末試験の
受験には3分の2以上の出席が前提となります。"
305,RIGHT,"科目ナンバー：（BA）MAN391J
経営学外国書講読Ｂ
山下智佳
【使用言語：英語】
2単位 3年次 秋学期 駿河台キャンパス","８．成績評価の方法
期末試験40％，平常点（受講態度，授業への参加度等）30％，
課題，発表30％の割合で総合的に評価します。なお，期末試験の
受験には3分の2以上の出席が前提となります。"
306,LEFT,"科目ナンバー：（BA）MAN391J
経営学外国書講読Ａ
李熙明
【使用言語：英語】
2単位 3年次 春学期 駿河台キャンパス","８．成績評価の方法
定期試験50％，授業への貢献度50％"
306,RIGHT,"科目ナンバー：（BA）MAN391J
経営学外国書講読Ｂ
李熙明
【使用言語：英語】
2単位 3年次 秋学期 駿河台キャンパス","８．成績評価の方法
定期試験50％，授業への貢献度50％"
307,LEFT,"科目ナンバー：（BA）MAN991J
経営学特別講義Ａ 金野索一
2単位 1年次 春学期 駿河台キャンパス","８．成績評価の方法
最後に提出する新規事業計画50％，各自１回担当する講義テーマリサ
ーチ25％，授業への参加度25％"
307,RIGHT,"科目ナンバー：（BA）MAN991J
経営学特別講義Ｂ 岡田浩一
2単位 1年次 秋学期 駿河台キャンパス","８．成績評価の方法
試験は行わず，授業への参加度とレポート評価での評価とします。
授業参加度60％
レポート評価40％"
308,LEFT,"科目ナンバー：（BA）MAN991J
経営学特別講義Ｄ 宮田憲一
2単位 3年次 秋学期 駿河台キャンパス","８．成績評価の方法
授業への貢献度30%，各発表(プレゼン)30%，成果物(事業設計書)40%により評価する。"
309,LEFT,"科目ナンバー：（BA）MAN991E
Special Lectures on Business Management C 永井裕久
2単位 3年次 春学期 駿河台キャンパス","８．成績評価の方法
Active participation in class activities: 60%
Team Presentation 20% x 2 times: 40%"
309,RIGHT,"科目ナンバー：（BA）MAN991E
Special Lectures on Business Management D 永井裕久
2単位 3年次 秋学期 駿河台キャンパス","８．成績評価の方法
Active participation in class discussions and activities: 60%
Skit Project: 20%
Individual presentations: 20%"
310,LEFT,"科目ナンバー：（BA）MAN596E
Information Ethics A〔M〕
ADAMS, ANDREW
【大学院経営学研究科共同設置科目（GSBA）】
Spring
Credits: 2 Year: 3 Surugadai
Semester","８．成績評価の方法
90％: S 80％: A 70％: B 60％: C Below 59％: Fail
Presentations (2): 50％
Post-Presentation Essays (2): 50％"
310,RIGHT,"科目ナンバー：（BA）MAN596E
Information Ethics B〔M〕
ADAMS, ANDREW
【大学院経営学研究科共同設置科目（GSBA）】
Fall
Credits: 2 Year: 3 Surugadai
Semester","８．成績評価の方法
90％: S 80％: A 70％: B 60％: C Below 59％: Fail
Presentations (2): 50％
Post-Presentation Reports (2): 50％"
311,LEFT,"科目ナンバー：（BA）MAN596E
Information Science A〔M〕
ADAMS, ANDREW
【大学院経営学研究科共同設置科目（GSBA）】
Spring
Credits: 2 Year: 3 Surugadai
Semester","８．成績評価の方法
90％: S 80％: A 70％: B 60％: C Below 59％: Fail
Presentations (2): 50％
Post-Presentation Essays (2): 50％"
311,RIGHT,"科目ナンバー：（BA）MAN596E
Information Science B〔M〕
ADAMS, ANDREW
【大学院経営学研究科共同設置科目（GSBA）】
Fall
Credits: 2 Year: 3 Surugadai
Semester","８．成績評価の方法
90％: S 80％: A 70％: B 60％: C Below 59％: Fail
Presentations (2): 50％
Post-Presentation Reports (2): 50％"
312,LEFT,"科目ナンバー：（BA）MAN516E
E Commerce A〔M〕
ADAMS, ANDREW
【大学院経営学研究科共同設置科目（GSBA）】
Spring
Credits: 2 Year: 3 Surugadai
Semester","８．成績評価の方法
90％: S 80％: A 70％: B 60％: C Below 59％: Fail
Presentations (2): 50％
Post-Presentation Reports (2): 50％"
312,RIGHT,"科目ナンバー：（BA）MAN516E
E Commerce B〔M〕
ADAMS, ANDREW
【大学院経営学研究科共同設置科目（GSBA）】
Fall
Credits: 2 Year: 3 Surugadai
Semester","８．成績評価の方法
90％: S 80％: A 70％: B 60％: C Below 59％: Fail
Presentations (2): 50％
Post-Presentation Reports (2): 50％"
313,LEFT,"科目ナンバー：（BA）MAN516E
The Future of E Business A〔M〕
ADAMS, ANDREW
【大学院経営学研究科共同設置科目（GSBA）】
Spring
Credits: 2 Year: 3 Surugadai
Semester","８．成績評価の方法
90％: S 80％: A 70％: B 60％: C Below 59％: Fail
Presentations (2): 50％
Post-Presentation Essays (2): 50％"
313,RIGHT,"科目ナンバー：（BA）MAN516E
The Future of E Business B〔M〕
ADAMS, ANDREW
【大学院経営学研究科共同設置科目（GSBA）】
Fall
Credits: 2 Year: 3 Surugadai
Semester","８．成績評価の方法
90％: S 80％: A 70％: B 60％: C Below 59％: Fail
Presentations (2): 50％
Post-Presentation Essays (2): 50％"
314,LEFT,"科目ナンバー：（BA）MAN526E
Organizational Behavior A〔M〕 DASSANAYAKE,
【大学院経営学研究科共同設置科目（GSBA）】 MUDIYANSELAGE
Spring
Credits: 2 Year: 3 Surugadai
Semester","８．成績評価の方法
a) Active participation and engagement in classroom meetings―70％
b) Case study analysis, i.e. written assignment and oral presentations―30％
No final written examination given at the end of the semester"
314,RIGHT,"科目ナンバー：（BA）MAN526E
Organizational Behavior B〔M〕 DASSANAYAKE,
【大学院経営学研究科共同設置科目（GSBA）】 MUDIYANSELAGE
Credits: 2 Year: 3 秋学期集中 Surugadai","８．成績評価の方法
a) Active participation and engagement in classroom meetings―70％
b) Case study analysis, i.e. written assignment and oral presentations―30％
No final written examination given at the end of the semester"
315,LEFT,"科目ナンバー：（BA）MAN526E
Strategic Management A〔M〕 DASSANAYAKE,
【大学院経営学研究科共同設置科目（GSBA）】 MUDIYANSELAGE
Spring
Credits: 2 Year: 3 Surugadai
Semester","８．成績評価の方法
a) Active participation and engagement in classroom meetings―70％
b) Case study analysis, i.e. written assignment and oral presentations―30％
No final written examination given at the end of the semester"
315,RIGHT,"科目ナンバー：（BA）MAN526E
Strategic Management B〔M〕 DASSANAYAKE,
【大学院経営学研究科共同設置科目（GSBA）】 MUDIYANSELAGE
Fall
Credits: 2 Year: 3 Surugadai
Semester","８．成績評価の方法
a) Active participation and engagement in classroom meetings―70％
b) Case study analysis, i.e. written assignment and oral presentations―30％
No final written examination given at the end of the semester"
316,LEFT,"科目ナンバー：（BA）MAN561E
Transnational Management A
SUMI ATSUSHI
【大学院経営学研究科共同設置科目（GSBA）】
Spring
Credits: 2 Year: 3 Surugadai
Semester","８．成績評価の方法
Course Evaluation:
Student performance will be assessed based on the following criteria:
1. Oral Presentations (50%)
• Each student will deliver 5 to 6 oral reports on assigned textbook sections throughout the
semester.
• Presentations should be accompanied by a brief summary.
2. Case Report (40%)
• Submit an English report (A4 size, 8–10 pages, 3200–4000 words).
3. Overall Class Participation (10%)
• Includes active engagement in group discussions and class activities."
316,RIGHT,"科目ナンバー：（BA）MAN561E
Transnational Management B
SUMI ATSUSHI
【大学院経営学研究科共同設置科目（GSBA）】
Fall
Credits: 2 Year: 3 Surugadai
Semester","８．成績評価の方法
Course Evaluation:
Student performance will be assessed based on the following criteria:
1. Oral Presentations (50%)
• Each student will deliver 5 to 6 oral reports on assigned textbook sections throughout the
semester.
• Presentations should be accompanied by a brief summary.
2. Case Report (40%)
• Submit an English report (A4 size, 4–5 pages, 1200–1600 words).
3. Overall Class Participation (10%)
• Includes active engagement in group discussions and class activities."
317,LEFT,"科目ナンバー：（GB）MAN566E
Human Resource Management B〔Ｍ〕
許佑旭
【大学院経営学研究科共同設置科目（GSBA）】
Spring
Credits: 2 Year: 3 Surugadai
Semester","８．成績評価の方法
In class participation: 30％
Group project presentation: 20％
Final presentation: 10％
Final report: 40％"
317,RIGHT,"科目ナンバー：（GB）MAN566E
Family Business A〔Ｍ〕
許佑旭
【大学院経営学研究科共同設置科目（GSBA）】
Spring
Credits: 2 Year: 3 Surugadai
Semester","８．成績評価の方法
In-class participation: 40％
Presentation: 10％
Group project presentation: 10％
Final report: 40％"
318,LEFT,"科目ナンバー：（BA）CMM516E
International Marketing A〔M〕
CHANG CHIAO-YUN
【大学院経営学研究科共同設置科目（GSBA）】
Spring
Credits: 2 Year: 3 Surugadai
Semester","８．成績評価の方法
Class Discussion (30%)
Presentation X2 (30%)
Case Study X2 (40%)"
318,RIGHT,"科目ナンバー：（BA）CMM516E
International Marketing B〔M〕
CHANG CHIAO-YUN
【大学院経営学研究科共同設置科目（GSBA）】
Fall
Credits: 2 Year: 3 Surugadai
Semester","８．成績評価の方法
Class Discussion (30%)
Presentation (30%)
Case Study X2 (40%)"
319,LEFT,"科目ナンバー：（BA）CMM516E
Service Marketing A〔M〕
CHANG CHIAO-YUN
【大学院経営学研究科共同設置科目（GSBA）】
Spring
Credits: 2 Year: 3 Surugadai
Semester","８．成績評価の方法
Class Discussion (20%)
Presentation (20%)
Case Study X3 (60%)"
319,RIGHT,"科目ナンバー：（BA）CMM516E
Service Marketing B〔M〕
CHANG CHIAO-YUN
【大学院経営学研究科共同設置科目（GSBA）】
Fall
Credits: 2 Year: 3 Surugadai
Semester","８．成績評価の方法
Class Discussion (30%)
Final Evaluation (Presentation) (30%)
Case Study X2 (40%)"
321,LEFT,"科目ナンバー：（BA）ACC231J
財務会計総論Ａ 石津寿惠
2単位 1年次 春学期 和泉キャンパス","８．成績評価の方法
平常点（授業中のクイズへの解答など）50％，授業時間内作成レポート15%、
中間小テスト15％，最終テスト(クイズ)20％。
※期末試験中のテストはありません。最終テストとは最終回に行うクイズ形式(ク
ラスウェブ利用)のテストです。
社会情勢等により評価配分などが変更になることがあり得ます。変更があった場
合は，早急にシラバスの補足でお知らせしますので，必ず確認してください。"
321,RIGHT,"科目ナンバー：（BA）ACC236J
財務会計総論Ａ〔Ｍ〕
石津寿惠
【CAPクラス】
2単位 1年次 春学期","８．成績評価の方法
毎回の、コンテンツ終了時の小テスト50%
授業時間内に作成するレポート30%
最終回のまとめのクイズ20%
★期末テストは行いません。
社会情勢等により変更が生じた場合は，早急にシラバスの補足でお知らせします
ので，必ず確認してください。"
322,LEFT,"科目ナンバー：（BA）ACC231J
財務会計総論Ｂ 石津寿惠
2単位 1年次 秋学期 和泉キャンパス","８．成績評価の方法
平常点（授業中のクイズへの解答など）50％，授業時間内作成レポート15%、
中間小テスト15％，最終テスト(クイズ)20％。
※期末試験中のテストはありません。最終テストとは最終回に行うクイズ形式(ク
ラスウェブ利用)のテストです。
社会情勢等により評価配分などが変更になることがあり得ます。変更があった場
合は，早急にシラバスの補足でお知らせしますので，必ず確認してください。"
322,RIGHT,"科目ナンバー：（BA）ACC236J
財務会計総論Ｂ〔Ｍ〕
石津寿惠
【CAPクラス】
2単位 1年次 秋学期","８．成績評価の方法
毎回の、コンテンツ終了時の小テスト50%
授業時間内に作成するレポート30%
最終回のまとめのクイズ20%
★期末テストは行いません。
社会情勢等により変更が生じた場合は，早急にシラバスの補足でお知らせします
ので，必ず確認してください。"
323,LEFT,"科目ナンバー：（BA）ACC246J
管理会計総論Ａ〔Ｍ〕 大槻晴海
2単位 1年次 春学期 和泉キャンパス","８．成績評価の方法
「振り返りシート」（20％），「確認テスト」または「グループワークの評価」・「グループワー
ク成果発表動画」（20％），定期試験（60％）
※対面形式の定期試験を行います。"
323,RIGHT,"科目ナンバー：（BA）ACC246J
管理会計総論Ａ〔Ｍ〕
大槻晴海
【CAPクラス】
2単位 1年次 春学期","８．成績評価の方法
「振り返りシート」（20％），「確認テスト」（40％），レポート（40％）"
324,LEFT,"科目ナンバー：（BA）ACC246J
管理会計総論Ｂ〔Ｍ〕 大槻晴海
2単位 1年次 秋学期 和泉キャンパス","８．成績評価の方法
「振り返りシート」（20％），「確認テスト」または「グループワークの評価」・「グループワー
ク成果発表動画」（20％），定期試験（60％）
※対面形式の定期試験を行います。"
324,RIGHT,"科目ナンバー：（BA）ACC246J
管理会計総論Ｂ〔Ｍ〕
大槻晴海
【CAPクラス】
2単位 1年次 秋学期","８．成績評価の方法
「振り返りシート」（20％），「確認テスト」（40％），レポート（40％）"
325,LEFT,"科目ナンバー：（BA）ACC211J
中級簿記論 大塚浩記
2単位 2年次 春学期 和泉キャンパス","８．成績評価の方法
定められた出席回数を満たしていることを前提に，原則として定
期試験（100％）で評価する。
ただし，授業の進行上，課題を課すことがあった場合には，定期試
験（80％）と課題（20％）で評価する。
評価の趣旨は，第１回目の授業の際にお話しする。"
325,RIGHT,"科目ナンバー：（BA）ACC311J
上級簿記論 大塚浩記
2単位 2年次 秋学期 和泉キャンパス","８．成績評価の方法
定められた出席回数を満たしていることを前提に，原則として定
期試験（100％）で評価する。
ただし，授業の進行上，課題を課すことがあった場合には，定期試
験（80％）と課題（20％）で評価する。
評価の趣旨は，第１回目の授業でお話しする。"
326,LEFT,"科目ナンバー：（BA）ACC331J
財務諸表論Ａ 大倉学
2単位 3年次 春学期 駿河台キャンパス","８．成績評価の方法
平常点（20％），レポート1回（10％），定期試験（70％）
講義内容に即した数回に１回のリアクション・ペーパー提出およ
びディスカッションにおける積極的姿勢を平常点の評価対象とする。"
326,RIGHT,"科目ナンバー：（BA）ACC331J
財務諸表論Ｂ 大倉学
2単位 3年次 秋学期 駿河台キャンパス","８．成績評価の方法
平常点（20％），レポート1回（10％），定期試験（70％）
講義内容に即した数回に１回のリアクション・ペーパー提出およ
びディスカッションにおける積極的姿勢を平常点の評価対象とする。"
327,LEFT,"科目ナンバー：（BA）ACC331J
現代会計基準論Ａ 浅野千鶴
2単位 3年次 春学期 駿河台キャンパス","８．成績評価の方法
定期試験および小テストの成績，授業中の態度等を総合的に判断
して評価する。
目安としては，平常点30％，定期テスト70％。
小テスト用紙は授業開始時に配布するので，遅刻しないように注
意すること。"
327,RIGHT,"科目ナンバー：（BA）ACC331J
現代会計基準論Ｂ 浅野千鶴
2単位 3年次 秋学期 駿河台キャンパス","８．成績評価の方法
定期試験および毎回実施する小テストの成績，授業中の態度等を
総合的に判断して評価する。
目安としては，平常点30％，定期テスト70％。
小テスト用紙は授業開始時に配布するので，遅刻しないように注
意すること。"
328,LEFT,"科目ナンバー：（BA）ACC361J
監査論Ａ
小俣光文
2017年度以前入学者
会計監査論Ａ
駿河台キャンパス
2単位 3年次 春学期","８．成績評価の方法
毎回講義内でミニテストを行い，まとめの回に復習テストを行いこ
の２つの要素を基礎に成績を決定する。
（配点割合は概ね次のとおり）
①毎回のミニテスト（60％） ②復習テスト期末試験の成績（40％）"
328,RIGHT,"科目ナンバー：（BA）ACC361J
監査論Ｂ
小俣光文
2017年度以前入学者
会計監査論Ｂ
駿河台キャンパス
2単位 3年次 秋学期","８．成績評価の方法
毎回講義内でミニテストを行い，まとめの回に復習テストを行い
この２つの要素を基礎に成績を決定する。
（配点割合は概ね次のとおり）
①毎回のミニテスト（60％） ②復習テスト期末試験の成績（40％）"
329,LEFT,"科目ナンバー：（BA）ACC371J
国際財務報告論Ａ 石田万由里
2単位 3年次 春学期 駿河台キャンパス","８．成績評価の方法
① 平常点（グループワークの参加状況・相対評価，プレゼンテーショ
ンおよびディスカッションの内容など）：30％
② レポート：30％
③ 期末試験：40％
※3分の2以上の出席が確認できない履修者については評価の対象とな
らない。"
329,RIGHT,"科目ナンバー：（BA）ACC371J
国際財務報告論Ｂ 石田万由里
2単位 3年次 秋学期 駿河台キャンパス","８．成績評価の方法
① 平常点（グループワークの参加状況・相対評価，プレゼンテーショ
ンおよびディスカッションの内容など）：30％
② レポート：30％
③ 期末試験：40％
※3分の2以上の出席が確認できない履修者については評価の対象とな
らない。"
330,LEFT,"科目ナンバー：（BA）ACC291E
Basic Accounting A
中島真澄
2016年度以前入学者
Basic Accounting
和泉キャンパス
2単位 1年次 春学期","８．成績評価の方法
ClassContribution15%
Assignments15%
MidtermExam30%
FinalExam40%"
330,RIGHT,"科目ナンバー：（BA）ACC291E
Basic Accounting B 中島真澄
2単位 1年次 秋学期 和泉キャンパス","８．成績評価の方法
ClassContribution15%
Assignments15%
MidtermExam30%
FinalExam40%"
331,LEFT,"科目ナンバー：（BA）ACC331E
Financial Accounting A 中島真澄
2単位 3年次 春学期 駿河台キャンパス","８．成績評価の方法
ClassContribution15%
Assignments15%
Mid-termExam30%
FinalExam40%"
331,RIGHT,"科目ナンバー：（BA）ACC331E
Financial Accounting B 中島真澄
2単位 3年次 秋学期 駿河台キャンパス","８．成績評価の方法
ClassContribution15%
Assignments15%
MidtermExam30%
FinalExam40%"
332,LEFT,"科目ナンバー：（BA）ACC321J
原価計算論Ⅰ 長野史麻
2単位 1年次 春学期 和泉キャンパス","８．成績評価の方法
授業中の課題（30％），中間試験（35％），期末試験（35％）によ
り総合的に評価する。"
332,RIGHT,"科目ナンバー：（BA）ACC321J
原価計算論Ⅱ 長野史麻
2単位 1年次 秋学期 和泉キャンパス","８．成績評価の方法
授業中の課題（30％），中間試験（35％），期末試験（35％）によ
り総合的に評価する。"
333,LEFT,"科目ナンバー：（BA）ACC326J
原価計算論Ⅰ〔Ｍ〕
長野史麻
【CAPクラス】
2単位 1年次 春学期","８．成績評価の方法
毎週の小テスト（40％）と課題（40％）、小テストと課題への取り組
み状況（20％）により総合的に評価する。"
333,RIGHT,"科目ナンバー：（BA）ACC326J
原価計算論Ⅱ〔Ｍ〕
長野史麻
【CAPクラス】
2単位 1年次 秋学期","８．成績評価の方法
毎週の小テスト（40％）と課題（40％）、小テストと課題への取り
組み状況（20％）により総合的に評価する。"
334,LEFT,"科目ナンバー：（BA）ACC341J
原価管理論Ａ 森光高大
2単位 3年次 春学期 駿河台キャンパス","８．成績評価の方法
小テスト（20％）、講義内の設問やレポート等の平常点（20％）、
定期試験（60％）によって評価を行います。"
334,RIGHT,"科目ナンバー：（BA）ACC341J
原価管理論Ｂ 森光高大
2単位 3年次 秋学期 駿河台キャンパス","８．成績評価の方法
小テスト（20％）、講義内の設問やレポート等の平常点（20％）、
定期試験（60％）によって評価を行います。"
335,LEFT,"科目ナンバー：（BA）ACC346E
Management Accounting A〔M〕 長野史麻
2単位 3年次 春学期","８．成績評価の方法
Weeklyassessmentpiece/s(50%)andexam/s(50%).Detailedinformationon
theassessmentpiecesandtheexamwillbeprovidedbythelectureronthe
firstweekofthesemester."
335,RIGHT,"科目ナンバー：（BA）ACC346E
Management Accounting B〔M〕 長野史麻
2単位 3年次 秋学期","８．成績評価の方法
Weeklyassessmentpiece/s(50%)andexam/s(50%).Detailedinformationon
theassessmentpiecesandtheexamwillbeprovidedbythelectureronthe
firstweekofthesemester."
336,LEFT,"科目ナンバー：（BA）ACC391J
会計情報システム論Ａ 本橋正美
2単位 3年次 春学期 駿河台キャンパス","８．成績評価の方法
小テスト2回（各25％），定期試験（50％）の配分で評価する。"
336,RIGHT,"科目ナンバー：（BA）ACC391J
会計情報システム論Ｂ 本橋正美
2単位 3年次 秋学期 駿河台キャンパス","８．成績評価の方法
小テスト2回（各25％），定期試験（50％）の配分で評価する。"
337,LEFT,"科目ナンバー：（BA）ACC391J
環境会計論Ａ 千葉貴律
2単位 3年次 春学期 駿河台キャンパス","８．成績評価の方法
対面式授業であるので、全講義時間14回のうち、10回以上の出席があること
を評価の前提とします。
そのうえで、毎回の授業で行う小テスト・課題（50％）と、定期試験（50％）
で評価します。
なお、定期試験では、電卓以外の資料その他の持ち込みは不可とします。"
337,RIGHT,"科目ナンバー：（BA）ACC391J
環境会計論Ｂ 千葉貴律
2単位 3年次 秋学期 駿河台キャンパス","８．成績評価の方法
対面式授業であるので、全講義時間14回のうち、10回以上の出席があること
を評価の前提とします。
そのうえで、毎回の授業で行う小テスト・課題（50％）と、定期試験（50％）
で評価します。
なお、定期試験では、電卓以外の資料その他の持ち込みは不可とします。"
338,LEFT,"科目ナンバー：（BA）ACC381J
税務会計論Ａ 金子友裕
2単位 3年次 春学期 駿河台キャンパス","８．成績評価の方法
平常点（リアクションペーパー・小テスト・レポート等）：30%
程度
期末試験：70%程度"
338,RIGHT,"科目ナンバー：（BA）ACC381J
税務会計論Ｂ 金子友裕
2単位 3年次 秋学期 駿河台キャンパス","８．成績評価の方法
平常点（リアクションペーパー・小テスト・レポート等）：30%
程度
期末試験：70%程度"
339,LEFT,"科目ナンバー：（BA）ACC391J
公会計論
東信男
【会計学科・公共経営学科共同設置】
2単位 3年次 秋学期 駿河台キャンパス","８．成績評価の方法
授業への貢献度（20％）、課題（20％）及び期末試験（60％）により評
価する。"
339,RIGHT,"科目ナンバー：（BA）ACC391J
ＮＰＯ会計論
石津寿惠
【会計学科・公共経営学科共同設置】
2単位 3年次 春学期 駿河台キャンパス","８．成績評価の方法
平常点（40％），授業時間内レポート作成（2回）（各30％）による。
期末試験はありません。"
340,LEFT,"科目ナンバー：（BA）ACC391J
会計史Ａ 森田広大
2単位 1年次 春学期 駿河台キャンパス","８．成績評価の方法
期末試験80％、リアクション・ペーパーの内容20％により、総合的に
評価する。"
340,RIGHT,"科目ナンバー：（BA）ACC391J
会計史Ｂ 森田広大
2単位 1年次 秋学期 駿河台キャンパス","８．成績評価の方法
期末試験80％、リアクション・ペーパーの内容20％により、総合的に
評価する。"
341,LEFT,"科目ナンバー：（BA）ACC381J
法人税法Ａ 加藤友佳
2単位 3年次 春学期 駿河台キャンパス","８．成績評価の方法
中間テスト、期末テスト、税理士ゲスト講座でのリアクションペー
パーの成績によって評価する。"
341,RIGHT,"科目ナンバー：（BA）ACC381J
法人税法Ｂ 加藤友佳
2単位 3年次 秋学期 駿河台キャンパス","８．成績評価の方法
中間テスト、期末テストの成績により評価します。"
342,LEFT,"科目ナンバー：（BA）MAN391J
会計学外国書講読Ａ
千葉貴律
【使用言語：英語】
2単位 3年次 春学期 駿河台キャンパス","８．成績評価の方法
対面式授業であるので、全講義時間14回のうち、10回以上の出席がある
ことを評価の前提とします。
そのうえで、毎回の授業で行う小テスト・課題（50％）と、定期試験（50
％）で評価します。
なお、定期試験では、電卓以外の資料その他の持ち込みは不可とします。"
342,RIGHT,"科目ナンバー：（BA）MAN391J
会計学外国書講読Ｂ
千葉貴律
【使用言語：英語】
2単位 3年次 秋学期 駿河台キャンパス","８．成績評価の方法
対面式授業であるので、全講義時間14回のうち、10回以上の出席がある
ことを評価の前提とします。
そのうえで、毎回の授業で行う小テスト・課題（50％）と、定期試験（50
％）で評価します。
なお、定期試験では、電卓以外の資料その他の持ち込みは不可とします。"
343,LEFT,"科目ナンバー：（BA）MAN391J
会計学外国書講読Ａ
森田広大
【使用言語：英語】
2単位 3年次 春学期 駿河台キャンパス","８．成績評価の方法
試験50％、課題（翻訳）の取り組み50％により、総合的に評価する。"
343,RIGHT,"科目ナンバー：（BA）MAN391J
会計学外国書講読Ｂ
森田広大
【使用言語：英語】
2単位 3年次 秋学期 駿河台キャンパス","８．成績評価の方法
試験50％、課題（翻訳）の取り組み50％により、総合的に評価する。"
344,LEFT,"科目ナンバー：（BA）MAN391J
会計学外国書講読Ａ
森光高大
【使用言語：英語】
2単位 3年次 春学期 駿河台キャンパス","８．成績評価の方法
対面形式の講義ですので、一定以上の出席を単位認定の前提としま
す。
定期試験は実施しませんが、講義内での課題への取組み40%、ディ
スカッションへの参加30%、設問への解答30%をもって、総合的に
成績評価(100%)を行います。"
344,RIGHT,"科目ナンバー：（BA）MAN391J
会計学外国書講読Ｂ
森光高大
【使用言語：英語】
2単位 3年次 秋学期 駿河台キャンパス","８．成績評価の方法
一定以上の出席があることを単位認定の要件とします。
期末試験は実施しませんが、課題への取組み(40%)、ディスカッシ
ョンへの参加(30%)、設問への解答(30%)をもって、総合的に成績
評価(100%)を行います。"
345,LEFT,"科目ナンバー：（BA）ACC991J
会計プロセミナーＡ 浅見透
2単位 1年次 春学期 駿河台キャンパス","８．成績評価の方法
出席を前提に，各講義の終了後に配布するミニ課題（85%），期末課題
（15%）によって評価します。"
345,RIGHT,"科目ナンバー：（BA）ACC996J
会計プロセミナーＣ〔Ｍ〕 小俣光文
2単位 1年次 春学期集中","８．成績評価の方法
毎回講義内でミニテストを実施し，毎回のミニテストの成績によ
って評価する。"
346,LEFT,"科目ナンバー：（BA）ACC991J
会計学特別講義Ａ 苅米裕
2単位 1年次 秋学期 和泉キャンパス","８．成績評価の方法
授業への貢献度（40%），中間課題レポート（30％），期末課題レ
ポート（30%）"
346,RIGHT,"科目ナンバー：（BA）ACC991J
会計学特別講義Ｄ 大倉学
2単位 1年次 春学期 和泉キャンパス","８．成績評価の方法
平常点（20％），レポート（10％），定期試験（70％）
平常点は数回に１度のリアクション・ペーパー提出およびディス
カッションにおける積極的姿勢を対象とする。"
347,LEFT,"科目ナンバー：（BA）ACC536E
Advanced Financial Accounting A〔M〕
NAKASHIMA MASUMI
【大学院経営学研究科共同設置科目（GSBA）】
Spring
Credits:2 Year:3 Surugadai
Semester","８．成績評価の方法
ClassContribution15%
Assignments35%
FinalExam60%
Noface-to-facetestingisconducted."
347,RIGHT,"科目ナンバー：（BA）ACC536E
Advanced Financial Accounting B〔M〕
NAKASHIMA MASUMI
【大学院経営学研究科共同設置科目（GSBA）】
Fall
Credits:2 Year:3 Surugadai
Semester","８．成績評価の方法
ClassContribution15%
Assignments35%
FinalExam60%
Noface-to-facetestingisconducted."
348,LEFT,"科目ナンバー：（BA）MAN556E
Financial Statement Analysis A〔M〕
NAKASHIMA MASUMI
【大学院経営学研究科共同設置科目（GSBA）】
Spring
Credits:2 Year:3 Surugadai
Semester","８．成績評価の方法
Contributiontoclass:15%,Assignment:15%,Presentation:20%,
andPaper:50%.Noface-to-facetestingisconducted."
348,RIGHT,"科目ナンバー：（BA）MAN556E
Financial Statement Analysis B〔M〕
NAKASHIMA MASUMI
【大学院経営学研究科共同設置科目（GSBA）】
Fall
Credits:2 Year:3 Surugadai
Semester","８．成績評価の方法
Contributiontoclass:15%,Assignment:15%,Presentation:20%,
andPaper:50%.Noface-to-facetestingisconducted."
351,LEFT,"科目ナンバー：（BA）MAN271J
行政経営論
菊地端夫
【2021年度以降入学者対象】
2単位 2年次 秋学期 和泉キャンパス","８．成績評価の方法
講義への貢献度30％，レポート課題30％，期末試験40％"
